rep,top_k,mean_mu,median_mu,mean_sigma,median_sigma,mean_EI,median_EI,overlap_with_EI
0,50,-0.030458530026583,-0.027520920073348613,0.13977701170710793,0.1394355407652671,0.026734288831062977,0.025876371289180015,0.26
1,50,-0.03836071224642346,-0.02872420893721936,0.13251278705656924,0.13483915709000713,0.02288108776937344,0.023942211375413285,0.08
2,50,-0.03932716216224513,-0.02905662153624699,0.13344034057183857,0.13396997631927782,0.02302945904945646,0.022800564014417095,0.16
3,50,-0.03655778906828795,-0.025917570441660986,0.137985974182167,0.136323247045268,0.025901466943565196,0.026575496199977566,0.2
4,50,-0.03328415022202679,-0.028745332383932464,0.13921980015881047,0.13696200563604155,0.025590108775063312,0.026270037104731442,0.1
5,50,-0.04139636761288863,-0.0272164613984182,0.13770837826461757,0.14081131831935187,0.024218181053048387,0.025397013645811692,0.2
6,50,-0.038124310331268646,-0.031095213340933556,0.14102019806660934,0.14121700457116548,0.025948027326854355,0.028351514320327745,0.16
7,50,-0.03835175131468136,-0.03122750048784974,0.1392613099283362,0.13669206068211887,0.024617609776565304,0.02513363565100727,0.16
8,50,-0.037956051365782915,-0.03288569298807964,0.1393412169181132,0.1360822563855015,0.025484299284086707,0.029242196992293773,0.2
9,50,-0.02781416831013717,-0.024300466865374685,0.13843437128347036,0.13545237765536466,0.02701897645462061,0.02777744217548267,0.16
10,50,-0.03165032428466827,-0.027773818517425046,0.13624627976092987,0.13369150857445583,0.025372258606467774,0.026337148852374613,0.26
11,50,-0.029356900884928518,-0.028136743145029182,0.139461421180729,0.14008341748693431,0.026775352785885605,0.02878724701182823,0.14
12,50,-0.040112061463594584,-0.0313444132581839,0.13760445255914994,0.13516676540621878,0.024555666694851732,0.02580371008913777,0.16
13,50,-0.039535380149538786,-0.030197569101427745,0.13469986043144183,0.1356384092673208,0.02324696736509695,0.02404178949860243,0.1
14,50,-0.029561696878257666,-0.02682803229330594,0.13401486925205863,0.13075352037053725,0.025183080680561982,0.026227480655599905,0.1
15,50,-0.04420315554784888,-0.03297733100298969,0.13309135534291505,0.1258216892425636,0.02235021887966457,0.02146311943180783,0.2
16,50,-0.0350767271420975,-0.02682803229330594,0.1337983113588489,0.13103098316261363,0.02438246914126512,0.02632981524617253,0.16
17,50,-0.03585784091165656,-0.02662169725171977,0.13911363326346732,0.1367779765998636,0.026138768382572293,0.02593188572809777,0.26
18,50,-0.04057771501555499,-0.030781646713177048,0.13519075108208092,0.13457543872160907,0.023516748612010297,0.02333530933321619,0.16
19,50,-0.03295433380741322,-0.02528793636584439,0.1358289250954984,0.14113525793352283,0.025290416669953002,0.027503205130052194,0.18
20,50,-0.03559901252044412,-0.030858636611603457,0.13958511156141154,0.14156034788989955,0.02608412528368737,0.026019488564569343,0.22
21,50,-0.036068013972263516,-0.02772482235454861,0.13469334294534985,0.13295476393988825,0.023967561998284634,0.025753176870252366,0.18
22,50,-0.030098803138983006,-0.027317520344755736,0.14357212543238007,0.14330062609917477,0.02811307967817001,0.030540778580180887,0.24
23,50,-0.04285923938793429,-0.02981898951058932,0.13686541101486088,0.13304252520273052,0.023449712009503177,0.023102375009073577,0.18
24,50,-0.0365171501383941,-0.02875226195836351,0.1361592842463696,0.13551554644370925,0.02453981291169967,0.02593188572809777,0.14
25,50,-0.039264900299009586,-0.028527629927546316,0.1330570174928122,0.12708412254840357,0.02292146786440751,0.023671105186636995,0.06
26,50,-0.03821006181852266,-0.029037603437134386,0.13705458810402804,0.13387682838266712,0.023977800025364954,0.023102375009073577,0.08
27,50,-0.03909069743555973,-0.030129566577392387,0.13924225356607828,0.13809765808664254,0.024863262512206625,0.02473195968494763,0.22
28,50,-0.03823227210687786,-0.02729267692355887,0.1369136719864853,0.13719045811625816,0.02466111832575403,0.026164712796922708,0.16
29,50,-0.034506962302933604,-0.027478123456454666,0.1406979463010758,0.14383999414177923,0.02621055160974942,0.029941464962604455,0.22
30,50,-0.02949027680553832,-0.02492794011010962,0.14017935623878416,0.14193142785034304,0.027323078481476457,0.030868769974833093,0.16
31,50,-0.03179840087119616,-0.028136743145029182,0.13996222828452817,0.14283774273164035,0.026376655029425322,0.028351514320327745,0.2
32,50,-0.037403861776335444,-0.027783373615106445,0.1400186836283599,0.1353823853139977,0.025180113818778473,0.0261141795780373,0.12
33,50,-0.03388445227652622,-0.03225041305918393,0.13768810748634797,0.13453863427177257,0.025064764217873847,0.025826798595535154,0.18
34,50,-0.03176472516686588,-0.0272164613984182,0.13761483341498157,0.13826269971912247,0.025643470979059474,0.025419517292095878,0.28
35,50,-0.031661194290640494,-0.026710262283909672,0.1404626739547927,0.13788875756356195,0.026658745577438397,0.026684074235711674,0.22
36,50,-0.04811581107695913,-0.03638029991766549,0.13405009307102358,0.13244412245391374,0.02190627043665746,0.021710758853695507,0.08
37,50,-0.03236075155186442,-0.026201354511587914,0.1356637903718129,0.1340440088203363,0.024855668479571963,0.024468495657748043,0.22
38,50,-0.033827368401820775,-0.02930093683652638,0.1351717416724004,0.12669803309632133,0.02461386968651872,0.024745801902036263,0.18
39,50,-0.0314681886668034,-0.026066803912779365,0.14083483598402705,0.14467782982561062,0.027149964057020037,0.028839986949378178,0.24
40,50,-0.02470009806778598,-0.025395788537700224,0.13708561882605586,0.13490158337556835,0.027346277782192816,0.029007160594832798,0.18
41,50,-0.03565316044052346,-0.03179220160994123,0.14679809574781616,0.15249667055856686,0.027894701297857684,0.03209899451468477,0.26
42,50,-0.04057752142542353,-0.032746169649194634,0.14157749485439575,0.13740211842214373,0.02575293271842195,0.029842132045736484,0.22
43,50,-0.04159356077417115,-0.02932083956830476,0.13235895612724077,0.13103098316261363,0.02212213396498467,0.02039490486777021,0.14
44,50,-0.030940550648501833,-0.026246863886279573,0.13777487161187332,0.13673705501545386,0.026146895934096328,0.028397990275643784,0.16
45,50,-0.03587264552083009,-0.026034256118993404,0.13590981193179622,0.13750132465459058,0.025228450673634183,0.02608506332587107,0.2
46,50,-0.032221749499687966,-0.026034256118993404,0.13533650285197005,0.1353815262809216,0.025291079162895393,0.02608506332587107,0.2
47,50,-0.035656249395515066,-0.02662159435901506,0.13796786749151266,0.13519635370204158,0.02503991623886927,0.0258652248984136,0.16
48,50,-0.03472642825906838,-0.029406892894532546,0.13739073419466696,0.13321056347974158,0.02546240229285642,0.026766762796059013,0.18
49,50,-0.034680355967200725,-0.030923347660970664,0.13506960894588446,0.1334125680065425,0.024101879969504823,0.024067308247289393,0.18
50,50,-0.042531522413129685,-0.027783373615106445,0.13762187801295414,0.138269879203319,0.023985270559841457,0.025876134113933903,0.2
51,50,-0.032887957225277216,-0.02706925374725573,0.13432218720194045,0.13533702122183494,0.025134784201717452,0.026171009757262317,0.18
52,50,-0.036115237997855355,-0.028477371172065294,0.13666732123617317,0.13597029123255638,0.025202466075674206,0.025981458421742636,0.18
53,50,-0.043927694554461445,-0.033494480972216176,0.13990127056236754,0.13763277162347926,0.02406816403089945,0.025397013645811692,0.14
54,50,-0.03397847777805065,-0.0297362903354038,0.13516658459419081,0.13519635370204158,0.02429157410120948,0.02543319846420596,0.14
55,50,-0.03894783601858864,-0.027036017696167952,0.13316004497195733,0.12731443408352688,0.023516093116967177,0.023015715758672374,0.18
56,50,-0.035671466817424884,-0.031136614083667972,0.1380257078236198,0.136538040757288,0.024979293681299777,0.025016271714739566,0.22
57,50,-0.03285746288547457,-0.028340645426229175,0.13384067736626068,0.13160044005315436,0.024909912575942533,0.026343486645357825,0.14
58,50,-0.03764999717991957,-0.030978720593531614,0.13711685187871592,0.13150720766858714,0.025043407741707144,0.026026822170771426,0.18
59,50,-0.03647617379366221,-0.02678773945913214,0.1381588359320387,0.13622717421895558,0.025050764255587433,0.02580371008913777,0.16
60,50,-0.03390369679177407,-0.027317520344755736,0.1320008035140697,0.13270013379012713,0.02389885976016171,0.024222055182317046,0.12
61,50,-0.038374795834746324,-0.03059189642181368,0.14238551045424788,0.14113525793352283,0.02627735744067444,0.029438212374587117,0.28
62,50,-0.03101320766194273,-0.02556437652721571,0.14038623881553036,0.14004358225169955,0.02684429195795393,0.026685016858677746,0.24
63,50,-0.043748022745206464,-0.03334957177123862,0.13187579840256036,0.1265735315160733,0.022049295921100845,0.02233772096193211,0.12
64,50,-0.036844075187816155,-0.03069233312239924,0.13476225811315748,0.13294192945459277,0.023637448454022384,0.023064161990831673,0.1
65,50,-0.030684152177009545,-0.027910558052423984,0.1398073437481006,0.13947057251979667,0.026640079360408866,0.027521994838038133,0.14
66,50,-0.03638788259659015,-0.02698241691645653,0.135935858634093,0.1353823853139977,0.02455588795148257,0.026334978530735312,0.14
67,50,-0.030441940748292096,-0.026034256118993404,0.13827903000635247,0.1387498681340864,0.026069242904608405,0.02661364240954974,0.18
68,50,-0.04215610579460936,-0.030923347660970664,0.1404855317255154,0.13947057251979667,0.025036740101250832,0.026019488564569343,0.22
69,50,-0.03319368043236644,-0.02596739506705835,0.13696813297453958,0.1385809494816826,0.02541874006138551,0.026757291890883703,0.18
70,50,-0.03994862159812613,-0.027505183351170193,0.13799936771548546,0.13629787629328044,0.02436566384880816,0.026062180740014526,0.18
71,50,-0.03121178381503252,-0.025128557951998306,0.13523800713734163,0.12762890974113886,0.025083981325171804,0.023721098217433907,0.16
72,50,-0.046790634610487866,-0.03048908778907433,0.13703647896856466,0.13994348908132348,0.022796424333879045,0.024309394712883528,0.12
73,50,-0.028879357226951716,-0.025860874107968244,0.1373014671120733,0.13576324419369712,0.026264058946130667,0.027871398165765268,0.2
74,50,-0.03983920226317326,-0.02739373586989641,0.13748931569205822,0.14008382682791032,0.024265839041898815,0.026163676151060234,0.12
75,50,-0.03209837472488688,-0.0242690147722036,0.14099018888212936,0.14892383273760862,0.027028069699583834,0.02993641419723813,0.22
76,50,-0.03491401706979354,-0.03340224497592155,0.1359733759146415,0.13499945885563697,0.02438437612374273,0.024572195007687685,0.16
77,50,-0.031016964678928626,-0.029999623734795797,0.13931300229646168,0.1383050813780126,0.026356123727264168,0.026226210342044098,0.18
78,50,-0.035599036356707955,-0.026912064661210724,0.1342252401079235,0.134891668477913,0.02349643634933276,0.021949947547768037,0.16
79,50,-0.030352303103320502,-0.0260770216321786,0.13999949907086418,0.13660461512057276,0.02724026073076935,0.031152799416164254,0.22
80,50,-0.044912513342348845,-0.032391032776808215,0.13737193190316946,0.13110238582509803,0.02333574382861238,0.02235883522189015,0.2
81,50,-0.045177205326695474,-0.0381024485252173,0.13604019556621438,0.13407443503281657,0.022327071496803318,0.021686146126723878,0.14
82,50,-0.03333685137314485,-0.027694220887222436,0.14330528854331392,0.14562802125189955,0.02763492591594324,0.030950051739188814,0.2
83,50,-0.0345995352946207,-0.027478797410842352,0.13454181456063297,0.13367396601652431,0.024485945617327518,0.024288229974033425,0.16
84,50,-0.03476345263359614,-0.0299648176260918,0.1421139966410979,0.14339771234442994,0.026885092124873982,0.028628977108142113,0.22
85,50,-0.042967804152543074,-0.033221525792348966,0.13349157684856258,0.13473132755995218,0.022236594747721026,0.02306603266906626,0.14
86,50,-0.039995263562022786,-0.029424662190203385,0.13756540475097978,0.13648103106213078,0.024184332817171635,0.0239845622446335,0.2
87,50,-0.03053570625772424,-0.02662159435901506,0.13837608834252538,0.13278123718998777,0.026051125124068396,0.02599341041724763,0.2
88,50,-0.035045973904636346,-0.029953016972311036,0.14156546030837053,0.14720154277629546,0.026231871673806473,0.028210634137501293,0.2
89,50,-0.03121238388782815,-0.02698241691645653,0.1382261073243764,0.13882347939022227,0.026594297925463008,0.029669286289270107,0.18
90,50,-0.03540053306719305,-0.028426396480270344,0.13890777510531133,0.14123271276669402,0.025581447764485375,0.028628977108142113,0.2
91,50,-0.034598228841774034,-0.02739373586989641,0.1373936267403426,0.13850559896573417,0.025439542534537413,0.026098734725056364,0.14
92,50,-0.04684095574861067,-0.03694502977857633,0.13578559122425995,0.13575553035785354,0.02208785339569289,0.0239845622446335,0.08
93,50,-0.0340917268455502,-0.02750585730555788,0.1419500207507539,0.14170113120424252,0.026835445057627652,0.02972027687418129,0.28
94,50,-0.03498578391858194,-0.0255603254319682,0.1351609763907662,0.13333527468620687,0.02520002979612467,0.02737135239591893,0.14
95,50,-0.03276533964578345,-0.030858636611603457,0.13532052981086123,0.1350885633243176,0.024721071653045556,0.025016271714739566,0.08
96,50,-0.03172447332090396,-0.028175639477971,0.13350026255291386,0.13099498019922262,0.024420960610634056,0.02474448956742808,0.14
97,50,-0.027643013338883908,-0.025819639650267477,0.1329152461811962,0.13069451851815667,0.02543558552180569,0.025016271714739566,0.2
98,50,-0.03389506350359842,-0.027478797410842352,0.13930368146920905,0.13991119637025784,0.025825174927589983,0.02770422452031064,0.18
99,50,-0.03836768984395093,-0.03321236944685768,0.14173425367959575,0.14269290343700042,0.02573805602149429,0.02632981524617253,0.16
100,50,-0.02954819398938245,-0.025184517665009863,0.14036712331820111,0.14503686420935039,0.026991794216284722,0.029504375737423344,0.24
101,50,-0.041253312887117664,-0.028527629927546316,0.1393072632762338,0.14487543313468065,0.02474773199770165,0.027503205130052194,0.18
