representation,label,metric,point_estimate,ci95_low,ci95_high,n_additives,n_bootstrap,seed
hard_only,Hard,spearman,0.2743886743886744,-0.04219874305075004,0.5405689106171241,36,10000,20260510
hard_only,Hard,top20_overlap,0.125,0.0,0.5,36,10000,20260510
hard_only,Hard,rmse_improvement_vs_hard,0.0,0.0,0.0,36,10000,20260510
mechanism_mean_std,Mechanism soft,spearman,0.33539253539253544,0.026594028135229004,0.5898965427036306,36,10000,20260510
mechanism_mean_std,Mechanism soft,top20_overlap,0.5,0.125,0.625,36,10000,20260510
mechanism_mean_std,Mechanism soft,rmse_improvement_vs_hard,-0.013051291733992706,-0.04216118630350147,0.01064261490663702,36,10000,20260510
full_soft_mean_std,Full soft,spearman,0.3933075933075934,0.0726545360691702,0.6483895258841864,36,10000,20260510
full_soft_mean_std,Full soft,top20_overlap,0.375,0.0,0.75,36,10000,20260510
full_soft_mean_std,Full soft,rmse_improvement_vs_hard,-0.008008044232385395,-0.03286492248071564,0.011976246790159415,36,10000,20260510
hybrid_full_mean_std,Hybrid (LEAP),spearman,0.39407979407979404,0.109130956975573,0.62547096557359,36,10000,20260510
hybrid_full_mean_std,Hybrid (LEAP),top20_overlap,0.375,0.0,0.625,36,10000,20260510
hybrid_full_mean_std,Hybrid (LEAP),rmse_improvement_vs_hard,0.0006530742005643603,-0.01338950198289421,0.008840341598309296,36,10000,20260510
